Feature,Coefficient,Absolute_Coefficient
platelets,-0.0067021660801573155,0.0067021660801573155
ejection_fraction,0.004107912849812475,0.004107912849812475
creatinine_phosphokinase,-0.0034653888137598917,0.0034653888137598917
age,0.002879712352498833,0.002879712352498833
high_blood_pressure,-0.0023830901571697607,0.0023830901571697607
anaemia,0.00100377862108717,0.00100377862108717
sex,0.000713599362740465,0.000713599362740465
serum_creatinine,0.0004314291586487401,0.0004314291586487401
diabetes,-0.00037479422227788486,0.00037479422227788486
time,-0.00020768031221043263,0.00020768031221043263
smoking,-0.00010626618841373702,0.00010626618841373702
serum_sodium,-6.418136011146356e-05,6.418136011146356e-05
